,medal_type,medal_code,medal_date,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
0,Gold Medal,1,2021-07-24 00:00:00.0,KIM Je Deok,X,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm,KOR,ARC,Mixed Team,Republic of Korea,Archery
1,Gold Medal,1,2021-07-24 00:00:00.0,AN San,X,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,ARC,Mixed Team,Republic of Korea,Archery
2,Silver Medal,2,2021-07-24 00:00:00.0,SCHLOESSER Gabriela,X,../../../en/results/archery/athlete-profile-n1458456-schloesser-gabriela.htm,NED,ARC,Mixed Team,Netherlands,Archery
3,Silver Medal,2,2021-07-24 00:00:00.0,WIJLER Steve,X,../../../en/results/archery/athlete-profile-n1458465-wijler-steve.htm,NED,ARC,Mixed Team,Netherlands,Archery
4,Bronze Medal,3,2021-07-24 00:00:00.0,ALVAREZ Luis,X,../../../en/results/archery/athlete-profile-n1294470-alvarez-luis.htm,MEX,ARC,Mixed Team,Mexico,Archery
5,Bronze Medal,3,2021-07-24 00:00:00.0,VALENCIA Alejandra,X,../../../en/results/archery/athlete-profile-n1294484-valencia-alejandra.htm,MEX,ARC,Mixed Team,Mexico,Archery
6,Gold Medal,1,2021-07-24 00:00:00.0,CARAPAZ Richard,M,../../../en/results/cycling-road/athlete-profile-n1473746-carapaz-richard.htm,ECU,CRD,Men's Road Race,Ecuador,Cycling Road
7,Silver Medal,2,2021-07-24 00:00:00.0,van AERT Wout,M,../../../en/results/cycling-road/athlete-profile-n1393553-van-aert-wout.htm,BEL,CRD,Men's Road Race,Belgium,Cycling Road
8,Bronze Medal,3,2021-07-24 00:00:00.0,POGACAR Tadej,M,../../../en/results/cycling-road/athlete-profile-n1429471-pogacar-tadej.htm,SLO,CRD,Men's Road Race,Slovenia,Cycling Road
9,Gold Medal,1,2021-07-24 00:00:00.0,SZILAGYI Aron,M,../../../en/results/fencing/athlete-profile-n1343521-szilagyi-aron.htm,HUN,FEN,Men's Sabre Individual,Hungary,Fencing
10,Silver Medal,2,2021-07-24 00:00:00.0,SAMELE Luigi,M,../../../en/results/fencing/athlete-profile-n1312472-samele-luigi.htm,ITA,FEN,Men's Sabre Individual,Italy,Fencing
11,Bronze Medal,3,2021-07-24 00:00:00.0,KIM Junghwan,M,../../../en/results/fencing/athlete-profile-n1335688-kim-junghwan.htm,KOR,FEN,Men's Sabre Individual,Republic of Korea,Fencing
12,Gold Medal,1,2021-07-24 00:00:00.0,SUN Yiwen,W,../../../en/results/fencing/athlete-profile-n1392791-sun-yiwen.htm,CHN,FEN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
13,Silver Medal,2,2021-07-24 00:00:00.0,POPESCU Ana Maria,W,../../../en/results/fencing/athlete-profile-n1290683-popescu-ana-maria.htm,ROU,FEN,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
14,Bronze Medal,3,2021-07-24 00:00:00.0,LEHIS Katrina,W,../../../en/results/fencing/athlete-profile-n1374081-lehis-katrina.htm,EST,FEN,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
15,Gold Medal,1,2021-07-24 00:00:00.0,TAKATO Naohisa,M,../../../en/results/judo/athlete-profile-n1315348-takato-naohisa.htm,JPN,JUD,Men -60 kg,Japan,Judo
16,Silver Medal,2,2021-07-24 00:00:00.0,YANG Yung Wei,M,../../../en/results/judo/athlete-profile-n1431837-yang-yung-wei.htm,TPE,JUD,Men -60 kg,Chinese Taipei,Judo
17,Bronze Medal,3,2021-07-24 00:00:00.0,MKHEIDZE Luka,M,../../../en/results/judo/athlete-profile-n1403680-mkheidze-luka.htm,FRA,JUD,Men -60 kg,France,Judo
18,Bronze Medal,3,2021-07-24 00:00:00.0,SMETOV Yeldos,M,../../../en/results/judo/athlete-profile-n1305206-smetov-yeldos.htm,KAZ,JUD,Men -60 kg,Kazakhstan,Judo
19,Gold Medal,1,2021-07-24 00:00:00.0,KRASNIQI Distria,W,../../../en/results/judo/athlete-profile-n1330020-krasniqi-distria.htm,KOS,JUD,Women -48 kg,Kosovo,Judo
20,Silver Medal,2,2021-07-24 00:00:00.0,TONAKI Funa,W,../../../en/results/judo/athlete-profile-n1315316-tonaki-funa.htm,JPN,JUD,Women -48 kg,Japan,Judo
21,Bronze Medal,3,2021-07-24 00:00:00.0,BILODID Daria,W,../../../en/results/judo/athlete-profile-n1317083-bilodid-daria.htm,UKR,JUD,Women -48 kg,Ukraine,Judo
22,Bronze Medal,3,2021-07-24 00:00:00.0,MUNKHBAT Urantsetseg,W,../../../en/results/judo/athlete-profile-n1326832-munkhbat-urantsetseg.htm,MGL,JUD,Women -48 kg,Mongolia,Judo
23,Gold Medal,1,2021-07-24 00:00:00.0,FOROUGHI Javad,M,../../../en/results/shooting/athlete-profile-n1283897-foroughi-javad.htm,IRI,SHO,10m Air Pistol Men,Islamic Republic of Iran,Shooting
24,Silver Medal,2,2021-07-24 00:00:00.0,MIKEC Damir,M,../../../en/results/shooting/athlete-profile-n1344914-mikec-damir.htm,SRB,SHO,10m Air Pistol Men,Serbia,Shooting
25,Bronze Medal,3,2021-07-24 00:00:00.0,PANG Wei,M,../../../en/results/shooting/athlete-profile-n1302190-pang-wei.htm,CHN,SHO,10m Air Pistol Men,People's Republic of China,Shooting
26,Gold Medal,1,2021-07-24 00:00:00.0,YANG Qian,W,../../../en/results/shooting/athlete-profile-n1302186-yang-qian.htm,CHN,SHO,10m Air Rifle Women,People's Republic of China,Shooting
27,Silver Medal,2,2021-07-24 00:00:00.0,GALASHINA Anastasiia,W,../../../en/results/shooting/athlete-profile-n1428767-galashina-anastasiia.htm,ROC,SHO,10m Air Rifle Women,ROC,Shooting
28,Bronze Medal,3,2021-07-24 00:00:00.0,CHRISTEN Nina,W,../../../en/results/shooting/athlete-profile-n1465510-christen-nina.htm,SUI,SHO,10m Air Rifle Women,Switzerland,Shooting
29,Gold Medal,1,2021-07-24 00:00:00.0,DELL'AQUILA Vito,M,../../../en/results/taekwondo/athlete-profile-n1334908-dell-aquila-vito.htm,ITA,TKW,Men -58kg,Italy,Taekwondo
30,Silver Medal,2,2021-07-24 00:00:00.0,JENDOUBI Mohamed Khalil,M,../../../en/results/taekwondo/athlete-profile-n1376016-jendoubi-mohamed-khalil.htm,TUN,TKW,Men -58kg,Tunisia,Taekwondo
31,Bronze Medal,3,2021-07-24 00:00:00.0,ARTAMONOV Mikhail,M,../../../en/results/taekwondo/athlete-profile-n1428978-artamonov-mikhail.htm,ROC,TKW,Men -58kg,ROC,Taekwondo
32,Bronze Medal,3,2021-07-24 00:00:00.0,JANG Jun,M,../../../en/results/taekwondo/athlete-profile-n1330601-jang-jun.htm,KOR,TKW,Men -58kg,Republic of Korea,Taekwondo
33,Gold Medal,1,2021-07-24 00:00:00.0,WONGPATTANAKIT Panipak,W,../../../en/results/taekwondo/athlete-profile-n1467323-wongpattanakit-panipak.htm,THA,TKW,Women -49kg,Thailand,Taekwondo
34,Silver Medal,2,2021-07-24 00:00:00.0,CEREZO IGLESIAS Adriana,W,../../../en/results/taekwondo/athlete-profile-n1351813-cerezo-iglesias-adriana.htm,ESP,TKW,Women -49kg,Spain,Taekwondo
35,Bronze Medal,3,2021-07-24 00:00:00.0,BOGDANOVIC Tijana,W,../../../en/results/taekwondo/athlete-profile-n1344571-bogdanovic-tijana.htm,SRB,TKW,Women -49kg,Serbia,Taekwondo
36,Bronze Medal,3,2021-07-24 00:00:00.0,SEMBERG Abishag,W,../../../en/results/taekwondo/athlete-profile-n1330457-semberg-abishag.htm,ISR,TKW,Women -49kg,Israel,Taekwondo
37,Gold Medal,1,2021-07-24 00:00:00.0,HOU Zhihui,W,../../../en/results/weightlifting/athlete-profile-n1342271-hou-zhihui.htm,CHN,WLF,Women's 49kg,People's Republic of China,Weightlifting
38,Silver Medal,2,2021-07-24 00:00:00.0,MIRABAI Chanu Saikhom,W,../../../en/results/weightlifting/athlete-profile-n1303836-mirabai-chanu-saikhom.htm,IND,WLF,Women's 49kg,India,Weightlifting
39,Bronze Medal,3,2021-07-24 00:00:00.0,AISAH Windy Cantika,W,../../../en/results/weightlifting/athlete-profile-n1320668-aisah-windy-cantika.htm,INA,WLF,Women's 49kg,Indonesia,Weightlifting
40,Gold Medal,1,2021-07-25 00:00:00.0,KANG Chaeyoung,W,../../../en/results/archery/athlete-profile-n1338245-kang-chaeyoung.htm,KOR,ARC,Women's Team,Republic of Korea,Archery
41,Gold Medal,1,2021-07-25 00:00:00.0,AN San,W,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,ARC,Women's Team,Republic of Korea,Archery
42,Gold Medal,1,2021-07-25 00:00:00.0,JANG Minhee,W,../../../en/results/archery/athlete-profile-n1338252-jang-minhee.htm,KOR,ARC,Women's Team,Republic of Korea,Archery
43,Silver Medal,2,2021-07-25 00:00:00.0,OSIPOVA Elena,W,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm,ROC,ARC,Women's Team,ROC,Archery
44,Silver Medal,2,2021-07-25 00:00:00.0,PEROVA Ksenia,W,../../../en/results/archery/athlete-profile-n1431750-perova-ksenia.htm,ROC,ARC,Women's Team,ROC,Archery
45,Silver Medal,2,2021-07-25 00:00:00.0,GOMBOEVA Svetlana,W,../../../en/results/archery/athlete-profile-n1431746-gomboeva-svetlana.htm,ROC,ARC,Women's Team,ROC,Archery
46,Bronze Medal,3,2021-07-25 00:00:00.0,SCHWARZ Charline,W,../../../en/results/archery/athlete-profile-n1395737-schwarz-charline.htm,GER,ARC,Women's Team,Germany,Archery
47,Bronze Medal,3,2021-07-25 00:00:00.0,UNRUH Lisa,W,../../../en/results/archery/athlete-profile-n1334159-unruh-lisa.htm,GER,ARC,Women's Team,Germany,Archery
48,Bronze Medal,3,2021-07-25 00:00:00.0,KROPPEN Michelle,W,../../../en/results/archery/athlete-profile-n1334170-kroppen-michelle.htm,GER,ARC,Women's Team,Germany,Archery
49,Gold Medal,1,2021-07-25 00:00:00.0,KIESENHOFER Anna,W,../../../en/results/cycling-road/athlete-profile-n1334466-kiesenhofer-anna.htm,AUT,CRD,Women's Road Race,Austria,Cycling Road
50,Silver Medal,2,2021-07-25 00:00:00.0,van VLEUTEN Annemiek,W,../../../en/results/cycling-road/athlete-profile-n1467954-van-vleuten-annemiek.htm,NED,CRD,Women's Road Race,Netherlands,Cycling Road
51,Bronze Medal,3,2021-07-25 00:00:00.0,LONGO BORGHINI Elisa,W,../../../en/results/cycling-road/athlete-profile-n1404048-longo-borghini-elisa.htm,ITA,CRD,Women's Road Race,Italy,Cycling Road
52,Gold Medal,1,2021-07-25 00:00:00.0,WANG Han,W,../../../en/results/diving/athlete-profile-n1329498-wang-han.htm,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
53,Gold Medal,1,2021-07-25 00:00:00.0,SHI Tingmao,W,../../../en/results/diving/athlete-profile-n1329428-shi-tingmao.htm,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
54,Silver Medal,2,2021-07-25 00:00:00.0,ABEL Jennifer,W,../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
55,Silver Medal,2,2021-07-25 00:00:00.0,CITRINI BEAULIEU Melissa,W,../../../en/results/diving/athlete-profile-n1469703-citrini-beaulieu-melissa.htm,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
56,Bronze Medal,3,2021-07-25 00:00:00.0,HENTSCHEL Lena,W,../../../en/results/diving/athlete-profile-n1350631-hentschel-lena.htm,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
57,Bronze Medal,3,2021-07-25 00:00:00.0,PUNZEL Tina,W,../../../en/results/diving/athlete-profile-n1350640-punzel-tina.htm,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
58,Gold Medal,1,2021-07-25 00:00:00.0,CANNONE Romain,M,../../../en/results/fencing/athlete-profile-n1351036-cannone-romain.htm,FRA,FEN,Men's &Eacute;p&eacute;e Individual,France,Fencing
59,Silver Medal,2,2021-07-25 00:00:00.0,SIKLOSI Gergely,M,../../../en/results/fencing/athlete-profile-n1343525-siklosi-gergely.htm,HUN,FEN,Men's &Eacute;p&eacute;e Individual,Hungary,Fencing
60,Bronze Medal,3,2021-07-25 00:00:00.0,REIZLIN Igor,M,../../../en/results/fencing/athlete-profile-n1483691-reizlin-igor.htm,UKR,FEN,Men's &Eacute;p&eacute;e Individual,Ukraine,Fencing
61,Gold Medal,1,2021-07-25 00:00:00.0,KIEFER Lee,W,../../../en/results/fencing/athlete-profile-n1310067-kiefer-lee.htm,USA,FEN,Women's Foil Individual,United States of America,Fencing
62,Silver Medal,2,2021-07-25 00:00:00.0,DERIGLAZOVA Inna,W,../../../en/results/fencing/athlete-profile-n1428168-deriglazova-inna.htm,ROC,FEN,Women's Foil Individual,ROC,Fencing
63,Bronze Medal,3,2021-07-25 00:00:00.0,KOROBEYNIKOVA Larisa,W,../../../en/results/fencing/athlete-profile-n1428173-korobeynikova-larisa.htm,ROC,FEN,Women's Foil Individual,ROC,Fencing
64,Gold Medal,1,2021-07-25 00:00:00.0,ABE Hifumi,M,../../../en/results/judo/athlete-profile-n1315347-abe-hifumi.htm,JPN,JUD,Men -66 kg,Japan,Judo
65,Silver Medal,2,2021-07-25 00:00:00.0,MARGVELASHVILI Vazha,M,../../../en/results/judo/athlete-profile-n1285222-margvelashvili-vazha.htm,GEO,JUD,Men -66 kg,Georgia,Judo
66,Bronze Medal,3,2021-07-25 00:00:00.0,AN Baul,M,../../../en/results/judo/athlete-profile-n1323211-an-baul.htm,KOR,JUD,Men -66 kg,Republic of Korea,Judo
67,Bronze Medal,3,2021-07-25 00:00:00.0,CARGNIN Daniel,M,../../../en/results/judo/athlete-profile-n1338108-cargnin-daniel.htm,BRA,JUD,Men -66 kg,Brazil,Judo
68,Gold Medal,1,2021-07-25 00:00:00.0,ABE Uta,W,../../../en/results/judo/athlete-profile-n1315319-abe-uta.htm,JPN,JUD,Women -52 kg,Japan,Judo
69,Silver Medal,2,2021-07-25 00:00:00.0,BUCHARD Amandine,W,../../../en/results/judo/athlete-profile-n1403693-buchard-amandine.htm,FRA,JUD,Women -52 kg,France,Judo
70,Bronze Medal,3,2021-07-25 00:00:00.0,GILES Chelsie,W,../../../en/results/judo/athlete-profile-n1440150-giles-chelsie.htm,GBR,JUD,Women -52 kg,Great Britain,Judo
71,Bronze Medal,3,2021-07-25 00:00:00.0,GIUFFRIDA Odette,W,../../../en/results/judo/athlete-profile-n1351014-giuffrida-odette.htm,ITA,JUD,Women -52 kg,Italy,Judo
72,Gold Medal,1,2021-07-25 00:00:00.0,BATSARASHKINA Vitalina,W,../../../en/results/shooting/athlete-profile-n1428779-batsarashkina-vitalina.htm,ROC,SHO,10m Air Pistol Women,ROC,Shooting
73,Silver Medal,2,2021-07-25 00:00:00.0,KOSTADINOVA Antoaneta,W,../../../en/results/shooting/athlete-profile-n1328491-kostadinova-antoaneta.htm,BUL,SHO,10m Air Pistol Women,Bulgaria,Shooting
74,Bronze Medal,3,2021-07-25 00:00:00.0,JIANG Ranxin,W,../../../en/results/shooting/athlete-profile-n1302200-jiang-ranxin.htm,CHN,SHO,10m Air Pistol Women,People's Republic of China,Shooting
75,Gold Medal,1,2021-07-25 00:00:00.0,SHANER William,M,../../../en/results/shooting/athlete-profile-n1335416-shaner-william.htm,USA,SHO,10m Air Rifle Men,United States of America,Shooting
76,Silver Medal,2,2021-07-25 00:00:00.0,SHENG Lihao,M,../../../en/results/shooting/athlete-profile-n1405181-sheng-lihao.htm,CHN,SHO,10m Air Rifle Men,People's Republic of China,Shooting
77,Bronze Medal,3,2021-07-25 00:00:00.0,YANG Haoran,M,../../../en/results/shooting/athlete-profile-n1302169-yang-haoran.htm,CHN,SHO,10m Air Rifle Men,People's Republic of China,Shooting
78,Gold Medal,1,2021-07-25 00:00:00.0,HORIGOME Yuto,M,../../../en/results/skateboarding/athlete-profile-n1315701-horigome-yuto.htm,JPN,SKB,Men's Street,Japan,Skateboarding
79,Silver Medal,2,2021-07-25 00:00:00.0,HOEFLER Kelvin,M,../../../en/results/skateboarding/athlete-profile-n1351775-hoefler-kelvin.htm,BRA,SKB,Men's Street,Brazil,Skateboarding
80,Bronze Medal,3,2021-07-25 00:00:00.0,EATON Jagger,M,../../../en/results/skateboarding/athlete-profile-n1342562-eaton-jagger.htm,USA,SKB,Men's Street,United States of America,Skateboarding
81,Gold Medal,1,2021-07-25 00:00:00.0,HAFNAOUI Ahmed,M,../../../en/results/swimming/athlete-profile-n1404312-hafnaoui-ahmed.htm,TUN,SWM,Men's 400m Freestyle,Tunisia,Swimming
82,Silver Medal,2,2021-07-25 00:00:00.0,McLOUGHLIN Jack,M,../../../en/results/swimming/athlete-profile-n1482871-mcloughlin-jack.htm,AUS,SWM,Men's 400m Freestyle,Australia,Swimming
83,Bronze Medal,3,2021-07-25 00:00:00.0,SMITH Kieran,M,../../../en/results/swimming/athlete-profile-n1302304-smith-kieran.htm,USA,SWM,Men's 400m Freestyle,United States of America,Swimming
84,Gold Medal,1,2021-07-25 00:00:00.0,KALISZ Chase,M,../../../en/results/swimming/athlete-profile-n1302246-kalisz-chase.htm,USA,SWM,Men's 400m Individual Medley,United States of America,Swimming
85,Silver Medal,2,2021-07-25 00:00:00.0,LITHERLAND Jay,M,../../../en/results/swimming/athlete-profile-n1302288-litherland-jay.htm,USA,SWM,Men's 400m Individual Medley,United States of America,Swimming
86,Bronze Medal,3,2021-07-25 00:00:00.0,SMITH Brendon,M,../../../en/results/swimming/athlete-profile-n1482899-smith-brendon.htm,AUS,SWM,Men's 400m Individual Medley,Australia,Swimming
87,Gold Medal,1,2021-07-25 00:00:00.0,CAMPBELL Cate,W,../../../en/results/swimming/athlete-profile-n1482861-campbell-cate.htm,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
88,Gold Medal,1,2021-07-25 00:00:00.0,CAMPBELL Bronte,W,../../../en/results/swimming/athlete-profile-n1482860-campbell-bronte.htm,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
89,Gold Medal,1,2021-07-25 00:00:00.0,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
90,Gold Medal,1,2021-07-25 00:00:00.0,WILSON Madison,W,../../../en/results/swimming/athlete-profile-n1482879-wilson-madison.htm,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
91,Gold Medal,1,2021-07-25 00:00:00.0,O'CALLAGHAN Mollie,W,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
92,Gold Medal,1,2021-07-25 00:00:00.0,HARRIS Meg,W,../../../en/results/swimming/athlete-profile-n1482907-harris-meg.htm,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
93,Silver Medal,2,2021-07-25 00:00:00.0,OLEKSIAK Penny,W,../../../en/results/swimming/athlete-profile-n1459677-oleksiak-penny.htm,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
94,Silver Medal,2,2021-07-25 00:00:00.0,SMITH Rebecca,W,../../../en/results/swimming/athlete-profile-n1459679-smith-rebecca.htm,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
95,Silver Medal,2,2021-07-25 00:00:00.0,SANCHEZ Kayla,W,../../../en/results/swimming/athlete-profile-n1459675-sanchez-kayla.htm,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
96,Silver Medal,2,2021-07-25 00:00:00.0,MACNEIL Margaret,W,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
97,Silver Medal,2,2021-07-25 00:00:00.0,RUCK Taylor,W,../../../en/results/swimming/athlete-profile-n1459651-ruck-taylor.htm,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
98,Bronze Medal,3,2021-07-25 00:00:00.0,BROWN Erika,W,../../../en/results/swimming/athlete-profile-n1302262-brown-erika.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
99,Bronze Medal,3,2021-07-25 00:00:00.0,WEITZEIL Abbey,W,../../../en/results/swimming/athlete-profile-n1302233-weitzeil-abbey.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
100,Bronze Medal,3,2021-07-25 00:00:00.0,de LOOF Catie,W,../../../en/results/swimming/athlete-profile-n1302243-de-loof-catie.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
101,Bronze Medal,3,2021-07-25 00:00:00.0,SCHMITT Allison,W,../../../en/results/swimming/athlete-profile-n1302228-schmitt-allison.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
102,Bronze Medal,3,2021-07-25 00:00:00.0,HINDS Natalie,W,../../../en/results/swimming/athlete-profile-n1302332-hinds-natalie.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
103,Bronze Medal,3,2021-07-25 00:00:00.0,SMOLIGA Olivia,W,../../../en/results/swimming/athlete-profile-n1302335-smoliga-olivia.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
104,Bronze Medal,3,2021-07-25 00:00:00.0,MANUEL Simone,W,../../../en/results/swimming/athlete-profile-n1302452-manuel-simone.htm,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
105,Gold Medal,1,2021-07-25 00:00:00.0,OHASHI Yui,W,../../../en/results/swimming/athlete-profile-n1315967-ohashi-yui.htm,JPN,SWM,Women's 400m Individual Medley,Japan,Swimming
106,Silver Medal,2,2021-07-25 00:00:00.0,WEYANT Emma,W,../../../en/results/swimming/athlete-profile-n1302268-weyant-emma.htm,USA,SWM,Women's 400m Individual Medley,United States of America,Swimming
107,Bronze Medal,3,2021-07-25 00:00:00.0,FLICKINGER Hali,W,../../../en/results/swimming/athlete-profile-n1302275-flickinger-hali.htm,USA,SWM,Women's 400m Individual Medley,United States of America,Swimming
108,Gold Medal,1,2021-07-25 00:00:00.0,RASHITOV Ulugbek,M,../../../en/results/taekwondo/athlete-profile-n1310979-rashitov-ulugbek.htm,UZB,TKW,Men -68kg,Uzbekistan,Taekwondo
109,Silver Medal,2,2021-07-25 00:00:00.0,SINDEN Bradly,M,../../../en/results/taekwondo/athlete-profile-n1440125-sinden-bradly.htm,GBR,TKW,Men -68kg,Great Britain,Taekwondo
110,Bronze Medal,3,2021-07-25 00:00:00.0,RECBER Hakan,M,../../../en/results/taekwondo/athlete-profile-n1327653-recber-hakan.htm,TUR,TKW,Men -68kg,Turkey,Taekwondo
111,Bronze Medal,3,2021-07-25 00:00:00.0,ZHAO Shuai,M,../../../en/results/taekwondo/athlete-profile-n1307140-zhao-shuai.htm,CHN,TKW,Men -68kg,People's Republic of China,Taekwondo
112,Gold Medal,1,2021-07-25 00:00:00.0,ZOLOTIC Anastasija,W,../../../en/results/taekwondo/athlete-profile-n1317805-zolotic-anastasija.htm,USA,TKW,Women -57kg,United States of America,Taekwondo
113,Silver Medal,2,2021-07-25 00:00:00.0,MININA Tatiana,W,../../../en/results/taekwondo/athlete-profile-n1428989-minina-tatiana.htm,ROC,TKW,Women -57kg,ROC,Taekwondo
114,Bronze Medal,3,2021-07-25 00:00:00.0,LO Chia-Ling,W,../../../en/results/taekwondo/athlete-profile-n1324323-lo-chia-ling.htm,TPE,TKW,Women -57kg,Chinese Taipei,Taekwondo
115,Bronze Medal,3,2021-07-25 00:00:00.0,ILGUN Hatice Kubra,W,../../../en/results/taekwondo/athlete-profile-n1327499-ilgun-hatice-kubra.htm,TUR,TKW,Women -57kg,Turkey,Taekwondo
116,Gold Medal,1,2021-07-25 00:00:00.0,LI Fabin,M,../../../en/results/weightlifting/athlete-profile-n1342295-li-fabin.htm,CHN,WLF,Men's 61kg,People's Republic of China,Weightlifting
117,Silver Medal,2,2021-07-25 00:00:00.0,IRAWAN Eko Yuli,M,../../../en/results/weightlifting/athlete-profile-n1321357-irawan-eko-yuli.htm,INA,WLF,Men's 61kg,Indonesia,Weightlifting
118,Bronze Medal,3,2021-07-25 00:00:00.0,SON Igor,M,../../../en/results/weightlifting/athlete-profile-n1307237-son-igor.htm,KAZ,WLF,Men's 61kg,Kazakhstan,Weightlifting
119,Gold Medal,1,2021-07-25 00:00:00.0,CHEN Lijun,M,../../../en/results/weightlifting/athlete-profile-n1309407-chen-lijun.htm,CHN,WLF,Men's 67kg,People's Republic of China,Weightlifting
120,Silver Medal,2,2021-07-25 00:00:00.0,MOSQUERA LOZANO Luis Javier,M,../../../en/results/weightlifting/athlete-profile-n1380756-mosquera-lozano-luis-javier.htm,COL,WLF,Men's 67kg,Colombia,Weightlifting
121,Bronze Medal,3,2021-07-25 00:00:00.0,ZANNI Mirko,M,../../../en/results/weightlifting/athlete-profile-n1351143-zanni-mirko.htm,ITA,WLF,Men's 67kg,Italy,Weightlifting
122,Gold Medal,1,2021-07-26 00:00:00.0,KIM Je Deok,M,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm,KOR,ARC,Men's Team,Republic of Korea,Archery
123,Gold Medal,1,2021-07-26 00:00:00.0,OH Jinhyek,M,../../../en/results/archery/athlete-profile-n1338266-oh-jinhyek.htm,KOR,ARC,Men's Team,Republic of Korea,Archery
124,Gold Medal,1,2021-07-26 00:00:00.0,KIM Woojin,M,../../../en/results/archery/athlete-profile-n1338267-kim-woojin.htm,KOR,ARC,Men's Team,Republic of Korea,Archery
125,Silver Medal,2,2021-07-26 00:00:00.0,TANG Chih-Chun,M,../../../en/results/archery/athlete-profile-n1323940-tang-chih-chun.htm,TPE,ARC,Men's Team,Chinese Taipei,Archery
126,Silver Medal,2,2021-07-26 00:00:00.0,WEI Chun-Heng,M,../../../en/results/archery/athlete-profile-n1324035-wei-chun-heng.htm,TPE,ARC,Men's Team,Chinese Taipei,Archery
127,Silver Medal,2,2021-07-26 00:00:00.0,DENG Yu-Cheng,M,../../../en/results/archery/athlete-profile-n1324047-deng-yu-cheng.htm,TPE,ARC,Men's Team,Chinese Taipei,Archery
128,Bronze Medal,3,2021-07-26 00:00:00.0,FURUKAWA Takaharu,M,../../../en/results/archery/athlete-profile-n1313434-furukawa-takaharu.htm,JPN,ARC,Men's Team,Japan,Archery
129,Bronze Medal,3,2021-07-26 00:00:00.0,KAWATA Yuki,M,../../../en/results/archery/athlete-profile-n1313435-kawata-yuki.htm,JPN,ARC,Men's Team,Japan,Archery
130,Bronze Medal,3,2021-07-26 00:00:00.0,MUTO Hiroki,M,../../../en/results/archery/athlete-profile-n1313432-muto-hiroki.htm,JPN,ARC,Men's Team,Japan,Archery
131,Gold Medal,1,2021-07-26 00:00:00.0,ABLIAZIN Denis,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
132,Gold Medal,1,2021-07-26 00:00:00.0,BELYAVSKIY David,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406251-belyavskiy-david.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
133,Gold Medal,1,2021-07-26 00:00:00.0,DALALOYAN Artur,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406253-dalaloyan-artur.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
134,Gold Medal,1,2021-07-26 00:00:00.0,NAGORNYY Nikita,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406257-nagornyy-nikita.htm,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
